team_season_key,team_id,season_year,team_full_name,team_city,team_name,team_abbrev,league,season_founded,season_active_till
9004_1965,9004,1965,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1966,9004,1966,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1967,9004,1967,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1968,9004,1968,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1969,9004,1969,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1970,9004,1970,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1971,9004,1971,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1972,9004,1972,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1973,9004,1973,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1974,9004,1974,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1975,9004,1975,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1976,9004,1976,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1977,9004,1977,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1978,9004,1978,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1979,9004,1979,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1980,9004,1980,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1981,9004,1981,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1982,9004,1982,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1983,9004,1983,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1984,9004,1984,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1985,9004,1985,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1986,9004,1986,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1987,9004,1987,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1988,9004,1988,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1989,9004,1989,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1990,9004,1990,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1991,9004,1991,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1992,9004,1992,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1993,9004,1993,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1994,9004,1994,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1995,9004,1995,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1996,9004,1996,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1997,9004,1997,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1998,9004,1998,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_1999,9004,1999,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2000,9004,2000,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2001,9004,2001,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2002,9004,2002,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2003,9004,2003,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2004,9004,2004,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2005,9004,2005,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2006,9004,2006,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2007,9004,2007,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2008,9004,2008,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2009,9004,2009,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2010,9004,2010,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2011,9004,2011,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2012,9004,2012,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2013,9004,2013,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2014,9004,2014,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2015,9004,2015,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2016,9004,2016,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2017,9004,2017,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2018,9004,2018,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2019,9004,2019,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2020,9004,2020,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2021,9004,2021,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2022,9004,2022,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2023,9004,2023,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2024,9004,2024,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2025,9004,2025,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9004_2026,9004,2026,Barcelona FC Barcelona Regal,Barcelona,FC Barcelona Regal,FCB  ,EuroLeague,1926,2100
9005_1960,9005,1960,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1961,9005,1961,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1962,9005,1962,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1963,9005,1963,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1964,9005,1964,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1965,9005,1965,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1966,9005,1966,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1967,9005,1967,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1968,9005,1968,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1969,9005,1969,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1970,9005,1970,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1971,9005,1971,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1972,9005,1972,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1973,9005,1973,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1974,9005,1974,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
9005_1975,9005,1975,Rome Lottomatica Roma,Rome,Lottomatica Roma,LRO  ,LBA,1960,2020
